Text,Label
"“Where’s your mother?”

“There, sir!” said I.",charles
"He started, made a short run, and stopped and looked over his shoulder.",charles
"“There, sir!” I timidly explained.",charles
“Also Georgiana.,charles
"That’s my mother.”

“Oh!” said he, coming back.",charles
"“And is that your father alonger your
mother?”

“Yes, sir,” said I; “him too; late of this parish.”

“Ha!” he muttered then, considering.",charles
"“Who d’ye live with,—supposin’
you’re kindly let to live, which I han’t made up my mind about?”

“My sister, sir,—Mrs.",charles
"Joe Gargery,—wife of Joe Gargery, the blacksmith,
sir.”

“Blacksmith, eh?” said he.",charles
And looked down at his leg.,charles
"After darkly looking at his leg and me several times, he came closer to
my tombstone, took me by both arms, and tilted me back as far as he
could hold me; so that his eyes looked most powerfully down into mine,
and mine looked most helplessly up into his.",charles
"“Now lookee here,” he said, “the question being whether you’re to be
let to live.",charles
"You know what a file is?”

“Yes, sir.”

“And you know what wittles is?”

“Yes, sir.”

After each question he tilted me over a little more, so as to give me a
greater sense of helplessness and danger.",charles
“You get me a file.” He tilted me again.,charles
"“And you get me wittles.” He
tilted me again.",charles
“You bring ’em both to me.” He tilted me again.,charles
"“Or
I’ll have your heart and liver out.” He tilted me again.",charles
"I was dreadfully frightened, and so giddy that I clung to him with both
hands, and said, “If you would kindly please to let me keep upright,
sir, perhaps I shouldn’t be sick, and perhaps I could attend more.”

He gave me a most tremendous dip and roll, so that the church jumped
over its own weathercock.",charles
"Then, he held me by the arms, in an upright
position on the top of the stone, and went on in these fearful terms:—

“You bring me, to-morrow morning early, that file and them wittles.",charles
"You
bring the lot to me, at that old Battery over yonder.",charles
"You do it, and
you never dare to say a word or dare to make a sign concerning your
having seen such a person as me, or any person sumever, and you shall
be let to live.",charles
"You fail, or you go from my words in any partickler, no
matter how small it is, and your heart and your liver shall be tore
out, roasted, and ate.",charles
"Now, I ain’t alone, as you may think I am.",charles
"There’s a young man hid with me, in comparison with which young man I
am a Angel.",charles
That young man hears the words I speak.,charles
"That young man has
a secret way pecooliar to himself, of getting at a boy, and at his
heart, and at his liver.",charles
"It is in wain for a boy to attempt to hide
himself from that young man.",charles
"A boy may lock his door, may be warm in
bed, may tuck himself up, may draw the clothes over his head, may think
himself comfortable and safe, but that young man will softly creep and
creep his way to him and tear him open.",charles
"I am a keeping that young man
from harming of you at the present moment, with great difficulty.",charles
"I
find it wery hard to hold that young man off of your inside.",charles
"Now, what
do you say?”

I said that I would get him the file, and I would get him what broken
bits of food I could, and I would come to him at the Battery, early in
the morning.",charles
“Say Lord strike you dead if you don’t!” said the man.,charles
"I said so, and he took me down.",charles
"“Now,” he pursued, “you remember what you’ve undertook, and you
remember that young man, and you get home!”

“Goo-good night, sir,” I faltered.",charles
"“Much of that!” said he, glancing about him over the cold wet flat.",charles
"“I
wish I was a frog.",charles
"Or a eel!”

At the same time, he hugged his shuddering body in both his
arms,—clasping himself, as if to hold himself together,—and limped
towards the low church wall.",charles
"As I saw him go, picking his way among the
nettles, and among the brambles that bound the green mounds, he looked
in my young eyes as if he were eluding the hands of the dead people,
stretching up cautiously out of their graves, to get a twist upon his
ankle and pull him in.",charles
"When he came to the low church wall, he got over it, like a man whose
legs were numbed and stiff, and then turned round to look for me.",charles
"When
I saw him turning, I set my face towards home, and made the best use of
my legs.",charles
"But presently I looked over my shoulder, and saw him going on
again towards the river, still hugging himself in both arms, and
picking his way with his sore feet among the great stones dropped into
the marshes here and there, for stepping-places when the rains were
heavy or the tide was in.",charles
"The marshes were just a long black horizontal line then, as I stopped
to look after him; and the river was just another horizontal line, not
nearly so broad nor yet so black; and the sky was just a row of long
angry red lines and dense black lines intermixed.",charles
"On the edge of the
river I could faintly make out the only two black things in all the
prospect that seemed to be standing upright; one of these was the
beacon by which the sailors steered,—like an unhooped cask upon a
pole,—an ugly thing when you were near it; the other, a gibbet, with
some chains hanging to it which had once held a pirate.",charles
"The man was
limping on towards this latter, as if he were the pirate come to life,
and come down, and going back to hook himself up again.",charles
"It gave me a
terrible turn when I thought so; and as I saw the cattle lifting their
heads to gaze after him, I wondered whether they thought so too.",charles
"I
looked all round for the horrible young man, and could see no signs of
him.",charles
"But now I was frightened again, and ran home without stopping.",charles
Chapter II.,charles
"My sister, Mrs. Joe Gargery, was more than twenty years older than I,
and had established a great reputation with herself and the neighbours
because she had brought me up “by hand.” Having at that time to find
out for myself what the expression meant, and knowing her to have a
hard and heavy hand, and to be much in the habit of laying it upon her
husband as well as upon me, I supposed that Joe Gargery and I were both
brought up by hand.",charles
"She was not a good-looking woman, my sister; and I had a general
impression that she must have made Joe Gargery marry her by hand.",charles
"Joe
was a fair man, with curls of flaxen hair on each side of his smooth
face, and with eyes of such a very undecided blue that they seemed to
have somehow got mixed with their own whites.",charles
"He was a mild,
good-natured, sweet-tempered, easy-going, foolish, dear fellow,—a sort
of Hercules in strength, and also in weakness.",charles
"My sister, Mrs. Joe, with black hair and eyes, had such a prevailing
redness of skin that I sometimes used to wonder whether it was possible
she washed herself with a nutmeg-grater instead of soap.",charles
"She was tall
and bony, and almost always wore a coarse apron, fastened over her
figure behind with two loops, and having a square impregnable bib in
front, that was stuck full of pins and needles.",charles
"She made it a powerful
merit in herself, and a strong reproach against Joe, that she wore this
apron so much.",charles
"Though I really see no reason why she should have worn
it at all; or why, if she did wear it at all, she should not have taken
it off, every day of her life.",charles
"Joe’s forge adjoined our house, which was a wooden house, as many of
the dwellings in our country were,—most of them, at that time.",charles
"When I
ran home from the churchyard, the forge was shut up, and Joe was
sitting alone in the kitchen.",charles
"Joe and I being fellow-sufferers, and
having confidences as such, Joe imparted a confidence to me, the moment
I raised the latch of the door and peeped in at him opposite to it,
sitting in the chimney corner.",charles
“Mrs.,charles
"Joe has been out a dozen times, looking for you, Pip.",charles
"And she’s
out now, making it a baker’s dozen.”

“Is she?”

“Yes, Pip,” said Joe; “and what’s worse, she’s got Tickler with her.”

At this dismal intelligence, I twisted the only button on my waistcoat
round and round, and looked in great depression at the fire.",charles
"Tickler
was a wax-ended piece of cane, worn smooth by collision with my tickled
frame.",charles
"“She sot down,” said Joe, “and she got up, and she made a grab at
Tickler, and she Ram-paged out.",charles
"That’s what she did,” said Joe, slowly
clearing the fire between the lower bars with the poker, and looking at
it; “she Ram-paged out, Pip.”

“Has she been gone long, Joe?” I always treated him as a larger species
of child, and as no more than my equal.",charles
"“Well,” said Joe, glancing up at the Dutch clock, “she’s been on the
Ram-page, this last spell, about five minutes, Pip.",charles
She’s a-coming!,charles
"Get
behind the door, old chap, and have the jack-towel betwixt you.”

I took the advice.",charles
"My sister, Mrs. Joe, throwing the door wide open,
and finding an obstruction behind it, immediately divined the cause,
and applied Tickler to its further investigation.",charles
"She concluded by
throwing me—I often served as a connubial missile—at Joe, who, glad to
get hold of me on any terms, passed me on into the chimney and quietly
fenced me up there with his great leg.",charles
"“Where have you been, you young monkey?” said Mrs. Joe, stamping her
foot.",charles
"“Tell me directly what you’ve been doing to wear me away with
fret and fright and worrit, or I’d have you out of that corner if you
was fifty Pips, and he was five hundred Gargerys.”

“I have only been to the churchyard,” said I, from my stool, crying and
rubbing myself.",charles
“Churchyard!” repeated my sister.,charles
"“If it warn’t for me you’d have been
to the churchyard long ago, and stayed there.",charles
"Who brought you up by
hand?”

“You did,” said I.",charles
"“And why did I do it, I should like to know?” exclaimed my sister.",charles
"I whimpered, “I don’t know.”

“_I_ don’t!” said my sister.",charles
“I’d never do it again!,charles
I know that.,charles
"I may
truly say I’ve never had this apron of mine off since born you were.",charles
"It’s bad enough to be a blacksmith’s wife (and him a Gargery) without
being your mother.”

My thoughts strayed from that question as I looked disconsolately at
the fire.",charles
"For the fugitive out on the marshes with the ironed leg, the
mysterious young man, the file, the food, and the dreadful pledge I was
under to commit a larceny on those sheltering premises, rose before me
in the avenging coals.",charles
"“Hah!” said Mrs. Joe, restoring Tickler to his station.",charles
"“Churchyard,
indeed!",charles
"You may well say churchyard, you two.” One of us, by the by,
had not said it at all.",charles
"“You’ll drive _me_ to the churchyard betwixt
you, one of these days, and O, a pr-r-recious pair you’d be without
me!”

As she applied herself to set the tea-things, Joe peeped down at me
over his leg, as if he were mentally casting me and himself up, and
calculating what kind of pair we practically should make, under the
grievous circumstances foreshadowed.",charles
"After that, he sat feeling his
right-side flaxen curls and whisker, and following Mrs. Joe about with
his blue eyes, as his manner always was at squally times.",charles
"My sister had a trenchant way of cutting our bread and butter for us,
that never varied.",charles
"First, with her left hand she jammed the loaf hard
and fast against her bib,—where it sometimes got a pin into it, and
sometimes a needle, which we afterwards got into our mouths.",charles
"Then she
took some butter (not too much) on a knife and spread it on the loaf,
in an apothecary kind of way, as if she were making a plaster,—using
both sides of the knife with a slapping dexterity, and trimming and
moulding the butter off round the crust.",charles
"Then, she gave the knife a
final smart wipe on the edge of the plaster, and then sawed a very
thick round off the loaf: which she finally, before separating from the
loaf, hewed into two halves, of which Joe got one, and I the other.",charles
"On the present occasion, though I was hungry, I dared not eat my slice.",charles
"I felt that I must have something in reserve for my dreadful
acquaintance, and his ally the still more dreadful young man.",charles
"I knew
Mrs. Joe’s housekeeping to be of the strictest kind, and that my
larcenous researches might find nothing available in the safe.",charles
"Therefore I resolved to put my hunk of bread and butter down the leg of
my trousers.",charles
"The effort of resolution necessary to the achievement of this purpose I
found to be quite awful.",charles
"It was as if I had to make up my mind to leap
from the top of a high house, or plunge into a great depth of water.",charles
And it was made the more difficult by the unconscious Joe.,charles
"In our
already-mentioned freemasonry as fellow-sufferers, and in his
good-natured companionship with me, it was our evening habit to compare
the way we bit through our slices, by silently holding them up to each
other’s admiration now and then,—which stimulated us to new exertions.",charles
"To-night, Joe several times invited me, by the display of his fast
diminishing slice, to enter upon our usual friendly competition; but he
found me, each time, with my yellow mug of tea on one knee, and my
untouched bread and butter on the other.",charles
"At last, I desperately
considered that the thing I contemplated must be done, and that it had
best be done in the least improbable manner consistent with the
circumstances.",charles
"I took advantage of a moment when Joe had just looked at
me, and got my bread and butter down my leg.",charles
"Joe was evidently made uncomfortable by what he supposed to be my loss
of appetite, and took a thoughtful bite out of his slice, which he
didn’t seem to enjoy.",charles
"He turned it about in his mouth much longer than
usual, pondering over it a good deal, and after all gulped it down like
a pill.",charles
"He was about to take another bite, and had just got his head on
one side for a good purchase on it, when his eye fell on me, and he saw
that my bread and butter was gone.",charles
"The wonder and consternation with which Joe stopped on the threshold of
his bite and stared at me, were too evident to escape my sister’s
observation.",charles
"“What’s the matter _now_?” said she, smartly, as she put down her cup.",charles
"“I say, you know!” muttered Joe, shaking his head at me in very serious
remonstrance.",charles
"“Pip, old chap!",charles
You’ll do yourself a mischief.,charles
"It’ll
stick somewhere.",charles
"You can’t have chawed it, Pip.”

“What’s the matter now?” repeated my sister, more sharply than before.",charles
"“If you can cough any trifle on it up, Pip, I’d recommend you to do
it,” said Joe, all aghast.",charles
"“Manners is manners, but still your elth’s
your elth.”

By this time, my sister was quite desperate, so she pounced on Joe,
and, taking him by the two whiskers, knocked his head for a little
while against the wall behind him, while I sat in the corner, looking
guiltily on.",charles
"“Now, perhaps you’ll mention what’s the matter,” said my sister, out of
breath, “you staring great stuck pig.”

Joe looked at her in a helpless way, then took a helpless bite, and
looked at me again.",charles
"“You know, Pip,” said Joe, solemnly, with his last bite in his cheek,
and speaking in a confidential voice, as if we two were quite alone,
“you and me is always friends, and I’d be the last to tell upon you,
any time.",charles
"But such a—” he moved his chair and looked about the floor
between us, and then again at me—“such a most oncommon Bolt as that!”

“Been bolting his food, has he?” cried my sister.",charles
"“You know, old chap,” said Joe, looking at me, and not at Mrs. Joe,
with his bite still in his cheek, “I Bolted, myself, when I was your
age—frequent—and as a boy I’ve been among a many Bolters; but I never
see your Bolting equal yet, Pip, and it’s a mercy you ain’t Bolted
dead.”

My sister made a dive at me, and fished me up by the hair, saying
nothing more than the awful words, “You come along and be dosed.”

Some medical beast had revived Tar-water in those days as a fine
medicine, and Mrs. Joe always kept a supply of it in the cupboard;
having a belief in its virtues correspondent to its nastiness.",charles
"At the
best of times, so much of this elixir was administered to me as a
choice restorative, that I was conscious of going about, smelling like
a new fence.",charles
"On this particular evening the urgency of my case demanded
a pint of this mixture, which was poured down my throat, for my greater
comfort, while Mrs. Joe held my head under her arm, as a boot would be
held in a bootjack.",charles
"Joe got off with half a pint; but was made to
swallow that (much to his disturbance, as he sat slowly munching and
meditating before the fire), “because he had had a turn.” Judging from
myself, I should say he certainly had a turn afterwards, if he had had
none before.",charles
"Conscience is a dreadful thing when it accuses man or boy; but when, in
the case of a boy, that secret burden co-operates with another secret
burden down the leg of his trousers, it is (as I can testify) a great
punishment.",charles
"The guilty knowledge that I was going to rob Mrs. Joe—I
never thought I was going to rob Joe, for I never thought of any of the
housekeeping property as his—united to the necessity of always keeping
one hand on my bread and butter as I sat, or when I was ordered about
the kitchen on any small errand, almost drove me out of my mind.",charles
"Then,
as the marsh winds made the fire glow and flare, I thought I heard the
voice outside, of the man with the iron on his leg who had sworn me to
secrecy, declaring that he couldn’t and wouldn’t starve until
to-morrow, but must be fed now.",charles
"At other times, I thought, What if the
young man who was with so much difficulty restrained from imbruing his
hands in me should yield to a constitutional impatience, or should
mistake the time, and should think himself accredited to my heart and
liver to-night, instead of to-morrow!",charles
"If ever anybody’s hair stood on
end with terror, mine must have done so then.",charles
"But, perhaps, nobody’s
ever did?",charles
"It was Christmas Eve, and I had to stir the pudding for next day, with
a copper-stick, from seven to eight by the Dutch clock.",charles
"I tried it with
the load upon my leg (and that made me think afresh of the man with the
load on _his_ leg), and found the tendency of exercise to bring the
bread and butter out at my ankle, quite unmanageable.",charles
"Happily I slipped
away, and deposited that part of my conscience in my garret bedroom.",charles
"“Hark!” said I, when I had done my stirring, and was taking a final
warm in the chimney corner before being sent up to bed; “was that great
guns, Joe?”

“Ah!” said Joe.",charles
"“There’s another conwict off.”

“What does that mean, Joe?” said I.

Mrs. Joe, who always took explanations upon herself, said, snappishly,
“Escaped.",charles
Escaped.” Administering the definition like Tar-water.,charles
"While Mrs. Joe sat with her head bending over her needlework, I put my
mouth into the forms of saying to Joe, “What’s a convict?” Joe put
_his_ mouth into the forms of returning such a highly elaborate answer,
that I could make out nothing of it but the single word “Pip.”

“There was a conwict off last night,” said Joe, aloud, “after
sunset-gun.",charles
And they fired warning of him.,charles
"And now it appears they’re
firing warning of another.”

“_Who’s_ firing?” said I.",charles
"“Drat that boy,” interposed my sister, frowning at me over her work,
“what a questioner he is.",charles
"Ask no questions, and you’ll be told no
lies.”

It was not very polite to herself, I thought, to imply that I should be
told lies by her even if I did ask questions.",charles
"But she never was polite
unless there was company.",charles
"At this point Joe greatly augmented my curiosity by taking the utmost
pains to open his mouth very wide, and to put it into the form of a
word that looked to me like “sulks.” Therefore, I naturally pointed to
Mrs. Joe, and put my mouth into the form of saying, “her?” But Joe
wouldn’t hear of that, at all, and again opened his mouth very wide,
and shook the form of a most emphatic word out of it.",charles
"But I could make
nothing of the word.",charles
“Mrs.,charles
"Joe,” said I, as a last resort, “I should like to know—if you
wouldn’t much mind—where the firing comes from?”

“Lord bless the boy!” exclaimed my sister, as if she didn’t quite mean
that but rather the contrary.",charles
"“From the Hulks!”

“Oh-h!” said I, looking at Joe.",charles
"“Hulks!”

Joe gave a reproachful cough, as much as to say, “Well, I told you so.”

“And please, what’s Hulks?” said I.",charles
"“That’s the way with this boy!” exclaimed my sister, pointing me out
with her needle and thread, and shaking her head at me.",charles
"“Answer him one
question, and he’ll ask you a dozen directly.",charles
"Hulks are prison-ships,
right ’cross th’ meshes.” We always used that name for marshes, in our
country.",charles
"“I wonder who’s put into prison-ships, and why they’re put there?” said
I, in a general way, and with quiet desperation.",charles
"It was too much for Mrs. Joe, who immediately rose.",charles
"“I tell you what,
young fellow,” said she, “I didn’t bring you up by hand to badger
people’s lives out.",charles
"It would be blame to me and not praise, if I had.",charles
"People are put in the Hulks because they murder, and because they rob,
and forge, and do all sorts of bad; and they always begin by asking
questions.",charles
"Now, you get along to bed!”

I was never allowed a candle to light me to bed, and, as I went
upstairs in the dark, with my head tingling,—from Mrs. Joe’s thimble
having played the tambourine upon it, to accompany her last words,—I
felt fearfully sensible of the great convenience that the hulks were
handy for me.",charles
I was clearly on my way there.,charles
"I had begun by asking
questions, and I was going to rob Mrs. Joe.",charles
"Since that time, which is far enough away now, I have often thought
that few people know what secrecy there is in the young under terror.",charles
"No matter how unreasonable the terror, so that it be terror.",charles
"I was in
mortal terror of the young man who wanted my heart and liver; I was in
mortal terror of my interlocutor with the iron leg; I was in mortal
terror of myself, from whom an awful promise had been extracted; I had
no hope of deliverance through my all-powerful sister, who repulsed me
at every turn; I am afraid to think of what I might have done on
requirement, in the secrecy of my terror.",charles
"If I slept at all that night, it was only to imagine myself drifting
down the river on a strong spring-tide, to the Hulks; a ghostly pirate
calling out to me through a speaking-trumpet, as I passed the
gibbet-station, that I had better come ashore and be hanged there at
once, and not put it off.",charles
"I was afraid to sleep, even if I had been
inclined, for I knew that at the first faint dawn of morning I must rob
the pantry.",charles
"There was no doing it in the night, for there was no
getting a light by easy friction then; to have got one I must have
struck it out of flint and steel, and have made a noise like the very
pirate himself rattling his chains.",charles
"As soon as the great black velvet pall outside my little window was
shot with grey, I got up and went downstairs; every board upon the way,
and every crack in every board calling after me, “Stop thief!” and “Get
up, Mrs. Joe!” In the pantry, which was far more abundantly supplied
than usual, owing to the season, I was very much alarmed by a hare
hanging up by the heels, whom I rather thought I caught, when my back
was half turned, winking.",charles
"I had no time for verification, no time for
selection, no time for anything, for I had no time to spare.",charles
"I stole
some bread, some rind of cheese, about half a jar of mincemeat (which I
tied up in my pocket-handkerchief with my last night’s slice), some
brandy from a stone bottle (which I decanted into a glass bottle I had
secretly used for making that intoxicating fluid,
Spanish-liquorice-water, up in my room: diluting the stone bottle from
a jug in the kitchen cupboard), a meat bone with very little on it, and
a beautiful round compact pork pie.",charles
"I was nearly going away without the
pie, but I was tempted to mount upon a shelf, to look what it was that
was put away so carefully in a covered earthenware dish in a corner,
and I found it was the pie, and I took it in the hope that it was not
intended for early use, and would not be missed for some time.",charles
"There was a door in the kitchen, communicating with the forge; I
unlocked and unbolted that door, and got a file from among Joe’s tools.",charles
"Then I put the fastenings as I had found them, opened the door at which
I had entered when I ran home last night, shut it, and ran for the
misty marshes.",charles
Chapter III.,charles
"It was a rimy morning, and very damp.",charles
"I had seen the damp lying on the
outside of my little window, as if some goblin had been crying there
all night, and using the window for a pocket-handkerchief.",charles
"Now, I saw
the damp lying on the bare hedges and spare grass, like a coarser sort
of spiders’ webs; hanging itself from twig to twig and blade to blade.",charles
﻿CHAPTER I.,charles
"TREATS OF THE PLACE WHERE OLIVER TWIST WAS BORN AND OF THE
CIRCUMSTANCES ATTENDING HIS BIRTH


Among other public buildings in a certain town, which for many reasons
it will be prudent to refrain from mentioning, and to which I will
assign no fictitious name, there is one anciently common to most towns,
great or small: to wit, a workhouse; and in this workhouse was born; on
a day and date which I need not trouble myself to repeat, inasmuch as
it can be of no possible consequence to the reader, in this stage of
the business at all events; the item of mortality whose name is
prefixed to the head of this chapter.",charles
"For a long time after it was ushered into this world of sorrow and
trouble, by the parish surgeon, it remained a matter of considerable
doubt whether the child would survive to bear any name at all; in which
case it is somewhat more than probable that these memoirs would never
have appeared; or, if they had, that being comprised within a couple of
pages, they would have possessed the inestimable merit of being the
most concise and faithful specimen of biography, extant in the
literature of any age or country.",charles
"Although I am not disposed to maintain that the being born in a
workhouse, is in itself the most fortunate and enviable circumstance
that can possibly befall a human being, I do mean to say that in this
particular instance, it was the best thing for Oliver Twist that could
by possibility have occurred.",charles
"The fact is, that there was considerable
difficulty in inducing Oliver to take upon himself the office of
respiration,—a troublesome practice, but one which custom has rendered
necessary to our easy existence; and for some time he lay gasping on a
little flock mattress, rather unequally poised between this world and
the next: the balance being decidedly in favour of the latter.",charles
"Now, if,
during this brief period, Oliver had been surrounded by careful
grandmothers, anxious aunts, experienced nurses, and doctors of
profound wisdom, he would most inevitably and indubitably have been
killed in no time.",charles
"There being nobody by, however, but a pauper old
woman, who was rendered rather misty by an unwonted allowance of beer;
and a parish surgeon who did such matters by contract; Oliver and
Nature fought out the point between them.",charles
"The result was, that, after a
few struggles, Oliver breathed, sneezed, and proceeded to advertise to
the inmates of the workhouse the fact of a new burden having been
imposed upon the parish, by setting up as loud a cry as could
reasonably have been expected from a male infant who had not been
possessed of that very useful appendage, a voice, for a much longer
space of time than three minutes and a quarter.",charles
"As Oliver gave this first proof of the free and proper action of his
lungs, the patchwork coverlet which was carelessly flung over the iron
bedstead, rustled; the pale face of a young woman was raised feebly
from the pillow; and a faint voice imperfectly articulated the words,
“Let me see the child, and die.”

The surgeon had been sitting with his face turned towards the fire:
giving the palms of his hands a warm and a rub alternately.",charles
"As the
young woman spoke, he rose, and advancing to the bed’s head, said, with
more kindness than might have been expected of him:

“Oh, you must not talk about dying yet.”

“Lor bless her dear heart, no!” interposed the nurse, hastily
depositing in her pocket a green glass bottle, the contents of which
she had been tasting in a corner with evident satisfaction.",charles
"“Lor bless her dear heart, when she has lived as long as I have, sir,
and had thirteen children of her own, and all on ’em dead except two,
and them in the wurkus with me, she’ll know better than to take on in
that way, bless her dear heart!",charles
"Think what it is to be a mother,
there’s a dear young lamb do.”

Apparently this consolatory perspective of a mother’s prospects failed
in producing its due effect.",charles
"The patient shook her head, and stretched
out her hand towards the child.",charles
The surgeon deposited it in her arms.,charles
"She imprinted her cold white lips
passionately on its forehead; passed her hands over her face; gazed
wildly round; shuddered; fell back—and died.",charles
"They chafed her breast,
hands, and temples; but the blood had stopped forever.",charles
"They talked of
hope and comfort.",charles
They had been strangers too long.,charles
"“It’s all over, Mrs. Thingummy!” said the surgeon at last.",charles
"“Ah, poor dear, so it is!” said the nurse, picking up the cork of the
green bottle, which had fallen out on the pillow, as she stooped to
take up the child.",charles
"“Poor dear!”

“You needn’t mind sending up to me, if the child cries, nurse,” said
the surgeon, putting on his gloves with great deliberation.",charles
"“It’s very
likely it _will_ be troublesome.",charles
"Give it a little gruel if it is.” He
put on his hat, and, pausing by the bed-side on his way to the door,
added, “She was a good-looking girl, too; where did she come from?”

“She was brought here last night,” replied the old woman, “by the
overseer’s order.",charles
She was found lying in the street.,charles
"She had walked
some distance, for her shoes were worn to pieces; but where she came
from, or where she was going to, nobody knows.”

The surgeon leaned over the body, and raised the left hand.",charles
"“The old
story,” he said, shaking his head: “no wedding-ring, I see.",charles
Ah!,charles
"Good-night!”

The medical gentleman walked away to dinner; and the nurse, having once
more applied herself to the green bottle, sat down on a low chair
before the fire, and proceeded to dress the infant.",charles
"What an excellent example of the power of dress, young Oliver Twist
was!",charles
"Wrapped in the blanket which had hitherto formed his only
covering, he might have been the child of a nobleman or a beggar; it
would have been hard for the haughtiest stranger to have assigned him
his proper station in society.",charles
"But now that he was enveloped in the old
calico robes which had grown yellow in the same service, he was badged
and ticketed, and fell into his place at once—a parish child—the orphan
of a workhouse—the humble, half-starved drudge—to be cuffed and
buffeted through the world—despised by all, and pitied by none.",charles
Oliver cried lustily.,charles
"If he could have known that he was an orphan,
left to the tender mercies of church-wardens and overseers, perhaps he
would have cried the louder.",charles
CHAPTER II.,charles
"TREATS OF OLIVER TWIST’S GROWTH, EDUCATION, AND BOARD


For the next eight or ten months, Oliver was the victim of a systematic
course of treachery and deception.",charles
He was brought up by hand.,charles
"The
hungry and destitute situation of the infant orphan was duly reported
by the workhouse authorities to the parish authorities.",charles
"The parish
authorities inquired with dignity of the workhouse authorities, whether
there was no female then domiciled in “the house” who was in a
situation to impart to Oliver Twist, the consolation and nourishment of
which he stood in need.",charles
"The workhouse authorities replied with
humility, that there was not.",charles
"Upon this, the parish authorities
magnanimously and humanely resolved, that Oliver should be “farmed,”
or, in other words, that he should be dispatched to a branch-workhouse
some three miles off, where twenty or thirty other juvenile offenders
against the poor-laws, rolled about the floor all day, without the
inconvenience of too much food or too much clothing, under the parental
superintendence of an elderly female, who received the culprits at and
for the consideration of sevenpence-halfpenny per small head per week.",charles
"Sevenpence-halfpenny’s worth per week is a good round diet for a child;
a great deal may be got for sevenpence-halfpenny, quite enough to
overload its stomach, and make it uncomfortable.",charles
"The elderly female was
a woman of wisdom and experience; she knew what was good for children;
and she had a very accurate perception of what was good for herself.",charles
"So, she appropriated the greater part of the weekly stipend to her own
use, and consigned the rising parochial generation to even a shorter
allowance than was originally provided for them.",charles
"Thereby finding in the
lowest depth a deeper still; and proving herself a very great
experimental philosopher.",charles
