Text,Label
PEOPLESEVEN TIMES ,aquinas
LIGHT STEP  SHE   ,tolstoy
AND   SELDOMHAVE  ,confucius
AND   MAKINGBARE  ,hawthorne
BEFORETHOU  DIDST ,shakespeare
THEN  THEY  CHANCD,shakespeare
YOUR  PEOPLEWILL  ,confucius
BLACK SILKENTHREAD,hawthorne
PEACH GROW  WITH  ,confucius
HONOURMUST  NOT   ,shakespeare
PAY   TAXES HOW   ,plato
THE   BALLETAND   ,tolstoy
THE   CHAIRSWITH  ,hawthorne
TING  HAVINGDIED  ,confucius
ART   ARE   FULL  ,plato
ONE   SINFULFOR   ,aquinas
AND   SIMPLEWILL  ,plato
AND   TAKE  THIS  ,shakespeare
FOR   DOES  NOT   ,aquinas
WROTH EXIT  ARAGON,shakespeare
LAW   HAD   TOLD  ,tolstoy
AND   HER   THIN  ,tolstoy
BEAT  THE   DREARY,hawthorne
AIR   THAT  EVER  ,hawthorne
NORTH HAVE  THEIR ,confucius
HAD   ONLY  THIS  ,hawthorne
DESIRESEEK  VERY  ,plato
MANG  SUN   ASKED ,confucius
INMOSTSOUL  BUT   ,hawthorne
YOUR  FRIENDNOR   ,plato
THE   KINGS PALACE,shakespeare
LAND  FOR   ANY   ,plato
THE   BODY  APPEAR,aquinas
ONE   WAY   EVIL  ,aquinas
CAN   ALL   THINGS,plato
WHOS  THERE THE   ,shakespeare
SHOWS ARE   MORE  ,shakespeare
CAME  FROM  ONE   ,shakespeare
HIS   WORK  BUT   ,tolstoy
THE   MANY  SPEAK ,plato
CLAIMSTHAT  THE   ,plato
SET   OFF   AND   ,tolstoy
FORESTLAND  HIS   ,hawthorne
SLEEP ALL   NIGHT ,tolstoy
COULD NOT   SHOW  ,aquinas
TRIM  LITTLEFIGURE,hawthorne
KNOW  THE   MEN   ,confucius
GOD   ALONE WORKS ,aquinas
THE   WORD  SEE   ,aquinas
OWN   BODY  FOR   ,aquinas
AND   HEIR  COME  ,hawthorne
THE   SUN   BATHED,tolstoy
UPON  PHBE  AND   ,hawthorne
INFORMHIS   FRIEND,tolstoy
AND   THEN  GLANCE,tolstoy
ALL   SAID  ROGER ,hawthorne
VOICE THEN  HER   ,tolstoy
NOTES ARE   PURE  ,plato
HER   BUT   EVERY ,tolstoy
HAND  EXCEPTTHAT  ,hawthorne
THE   FIRST DORIAN,plato
WAS   HALF  OVER  ,tolstoy
MASHA PICKEDTHE   ,tolstoy
TOO   AND   YOUNG ,tolstoy
TIM   CHRISTCAME  ,aquinas
NOT   EAT   MEAT  ,confucius
INDEEDHIS   MORTAL,shakespeare
BEINGSTHE   MASTER,confucius
THERE NOW   YOUR  ,tolstoy
AND   ITS   BEST  ,hawthorne
GOLD  HERE  INDEED,hawthorne
FOR   AND   THIS  ,aquinas
THY   SOULS PEACE ,hawthorne
THE   TWENTYSIXTH ,tolstoy
AND   VERY  MANY  ,plato
ARIST POL   FOR   ,plato
FOR   THOSE ONLY  ,aquinas
FOR   WHICH JUDGES,aquinas
HAVE  MADE  HER   ,tolstoy
HIS   RISINGTHIS  ,tolstoy
AND   WHICH OUR   ,plato
MONEY READY FOR   ,tolstoy
THE   DAY   TIME  ,plato
AND   THE   DRONES,plato
THE   LINES ABOUT ,confucius
HOLD  ALOOF FROM  ,confucius
SPEAK BOLDLYAND   ,confucius
PRAY  YOU   PUT   ,shakespeare
HAD   HER   NAMED ,confucius
NOT   HES   GAGGED,shakespeare
THAN  ENDURETHIS  ,plato
FATHOMDEEP  AND   ,shakespeare
ITS   HAND  WITH  ,hawthorne
OBJ   ANYONEMAY   ,aquinas
BUT   THESE PLANS ,aquinas
MINUTEWHY   NOT   ,tolstoy
WITH  VIRTUEWHICH ,aquinas
SALUTEAND   UNABLE,tolstoy
GRASS MUST  BEND  ,confucius
NEVER CEASE THEIR ,confucius
SEIZE THE   LONGED,confucius
THE   FUTUREMAY   ,confucius
LIKE  REGRETAND   ,hawthorne
CHIN  UPON  HER   ,hawthorne
WAS   HEARD FAR   ,hawthorne
HABIT BUT   ALSO  ,aquinas
THE   PORCH DOWN  ,tolstoy
JOYFULWAN   CHANG ,confucius
FOR   MUST  THEY  ,plato
THEN  WELL  USE   ,shakespeare
RING  WHEN  NOUGHT,shakespeare
BUT   MATTERFOR   ,confucius
HAVE  NOT   CEASED,aquinas
FROSTYAGE   HAD   ,hawthorne
ITS   SUDDENCRASH ,confucius
DOUBLENATUREWHICH ,plato
ZEAL  FOR   MANS  ,hawthorne
SAME  WHICH THE   ,plato
SHAME YES   AND   ,tolstoy
THIS  LAWFULUSE   ,plato
ANY   REAL  NEED  ,hawthorne
PRAYEDNOR   LATE  ,confucius
THEY  HAD   GREAT ,aquinas
ANON  BUT   SEE   ,hawthorne
DOM   WHAT  MEANS ,aquinas
SIN   WAS   THE   ,aquinas
WHICH WAS   LIT   ,tolstoy
YOU   LIVE  THERE ,hawthorne
WELL  AND   DANCES,plato
AND   THE   SHOES ,aquinas
MIRRORONLY  WHEN  ,plato
DOWN  THE   RUGS  ,tolstoy
ARTFULSPEECHAND   ,confucius
WITH  FULL  TEAM  ,confucius
THE   UNCLESMURDER,hawthorne
ORLV  DENSOVMAY   ,tolstoy
HAD   GROWN OLDER ,hawthorne
SHOULDHARDLYDRAW  ,shakespeare
TETCHYAND   FALL  ,shakespeare
CHAIN ACROSSHIS   ,hawthorne
THE   ANIMALPOWERS,confucius
WAY   HIS   WORK  ,aquinas
COUNT WHO   ALWAYS,tolstoy
GODS  LAWS  YET   ,plato
ENRICHHIS   HEIRS ,hawthorne
DOUBT WHEN  THE   ,hawthorne
DUE   MATTERAND   ,aquinas
SHE   PASSEDTHEM  ,tolstoy
RATHERTHAN  FILLD ,shakespeare
HER   NIECE PASSED,tolstoy
THE   LEVINSAND   ,tolstoy
HAVINGSEEN  MANY  ,tolstoy
THY   LIFE  LET   ,shakespeare
SURELYTHE   GRAND ,confucius
GONE  AND   HIRE  ,shakespeare
SEA   COAST WERE  ,plato
MADE  THEE  FEEBLE,hawthorne
THE   SNOW  OFF   ,tolstoy
SAY   MUST  FOR   ,plato
LIFE  AND   THINGS,plato
THE   NOBLERTYPE  ,confucius
THE   LATTERSEEMED,hawthorne
WHICH WAS   ENOUGH,plato
BLACK WORD  DEATH ,shakespeare
PLACESSHE   RAISED,tolstoy
LATTERFALLS SHORT ,confucius
MAKINGTHE   LIFE  ,plato
WAS   ANY   WISE  ,plato
THE   STARS TURN  ,confucius
HEAD  DRESS AND   ,hawthorne
FORESTOLD   STYLE ,tolstoy
DEATH SMELL AND   ,hawthorne
SAYS  JACOB BEGOT ,aquinas
ONLY  ONE   LITTLE,tolstoy
FATES OPEN  THEIR ,shakespeare
HIM   THAT  SIN   ,aquinas
HAS   MORE  WHAT  ,plato
WITH  THE   EMPTY ,hawthorne
YOU   AND   MOST  ,shakespeare
GOOD  HOW   SHOULD,confucius
WAY   GOOD  MEN   ,plato
NAY   GOOD  SIR   ,shakespeare
THE   CASE  EXCEPT,hawthorne
THEN  YOU   MADE  ,plato
LOVE  THAN  YOUNG ,shakespeare
OTHER LIFE  MEN   ,aquinas
ARE   ENDED LEGGE ,confucius
FOUND BEING ONE   ,shakespeare
LITTLEWORLD WITH  ,hawthorne
CREAKYDRY   ROTTED,hawthorne
HOW   THE   STUDY ,plato
AND   SNAKESAND   ,confucius
AND   HIS   SPEECH,confucius
WHERE FACINGONE   ,tolstoy
THE   SHADOWCREEPS,hawthorne
YOU   CAN   FIND  ,hawthorne
GOT   THESE TWO   ,plato
TRUER THAN  THE   ,plato
WHO   USE   THE   ,plato
WINDOWBUT   WITH  ,hawthorne
BUT   WHAT  HARM  ,confucius
WHO   ARE   HARD  ,aquinas
THEIR DEAR  CAUSES,shakespeare
WHEN  THOU  DOST  ,shakespeare
FOR   REASONDOES  ,aquinas
MEAT  THE   SECOND,plato
OWN   WHITE FEET  ,hawthorne
AND   PITI  PITI  ,tolstoy
KNOWN SOONERONLY  ,hawthorne
THE   DEVIL YOU   ,shakespeare
HAD   BEEN  ALONE ,tolstoy
FRESH STRAW WITH  ,tolstoy
FOR   ANYONENOW   ,tolstoy
WAS   HARDLYANYONE,tolstoy
NATUREBEING THE   ,plato
DID   NOT   YOUR  ,shakespeare
AGAIN THREE ERRORS,confucius
FARMERCAN   TEACH ,confucius
MOTHERCOME  AND   ,hawthorne
THOU  NOT   JUDGE ,aquinas
AND   ONE   PRE   ,plato
THEN  THE   JUST  ,plato
BEING SINCE GOOD  ,aquinas
MAN   SHOULDREACH ,aquinas
FOMES HAS   THE   ,aquinas
THAT  LVOV  WAS   ,tolstoy
DRIED MEAT  BOUGHT,confucius
SHALL REPOSEMYSELF,aquinas
RIVER KOLOCHHAD   ,tolstoy
MEET  AND   THERE ,plato
THAT  TAKES THE   ,shakespeare
WHO   BEARS THE   ,plato
GATE  LAY   WHERE ,confucius
FATHERMIGHT DRIVE ,plato
HIS   TIME  WAS   ,plato
SPARE WHEN  THEY  ,hawthorne
FILIALCHAP  XXI   ,confucius
CAUSE NOW   THERE ,aquinas
AND   WATRY DEATH ,shakespeare
THEE  LET   SHAME ,shakespeare
LITTLETIME  SHALL ,hawthorne
HIS   PATRONMAY   ,plato
AND   HAVE  KEPT  ,shakespeare
AND   MUD   AND   ,hawthorne
THOUGHTHERE MIGHT ,confucius
FACE  POOR  SOUL  ,shakespeare
THOU  SHE   ASKED ,hawthorne
NOW   AGREEDTHAT  ,plato
WOULD NOWISEALLOW ,aquinas
ILL   WILL  WHEN  ,confucius
PILLOWFOR   THE   ,hawthorne
GAVE  AND   THEN  ,confucius
THATS ENOUGHTHATS ,tolstoy
REAL  DEMANDAND   ,hawthorne
THIS  BADGE HATH  ,hawthorne
YOU   THERE WITH  ,shakespeare
CALM  THE   MASTER,confucius
THE   SPOT  THESE ,plato
VIRTUEAND   GOOD  ,aquinas
ABOUT THE   GOING ,plato
MATTERWHICH NEVER ,plato
WANT  HOW   CAN   ,confucius
WATER DROPS STAIN ,shakespeare
ALL   EVENTSTHOMAS,hawthorne
TREE  AND   WERE  ,hawthorne
SIT   HERE  HAD   ,shakespeare
HATH  MADE  SIN   ,aquinas
MIMIC BOATS UPON  ,hawthorne
NOBLE ERROR FOR   ,plato
THE   TWO   ALTARS,aquinas
MALICEAND   ENVY  ,plato
FAIRLYSTATEDABOUT ,plato
SMILESBECOMETHEE  ,shakespeare
CHARM THE   AIR   ,shakespeare
STARS AND   EARTH ,plato
THAT  SOME  DOZENS,tolstoy
WISHESAND   THIS  ,confucius
HONESTYOU   HAVE  ,shakespeare
AND   ROME  HAVE  ,confucius
BEEN  ONE   LONG  ,confucius
SHOOK HANDS COLDLY,tolstoy
RELIEFWHILE GLOWS ,confucius
THE   WORLD SIR   ,shakespeare
CHANG ASKED HOW   ,confucius
BOSOM HAS   ALL   ,hawthorne
JURY  WHICH WOULD ,plato
LIKE  HONOURWHEN  ,plato
BLAME AND   PRAISE,plato
HEART YOU   WILL  ,confucius
AND   GINGERSHALL ,shakespeare
FRIENDCHANG CAN   ,confucius
KEPT  THE   SECRET,hawthorne
ONWARDTOO   DEEPER,hawthorne
HER   LITTLEFAIR  ,tolstoy
ANIMALWHEN  YOU   ,confucius
ITS   VOLUMESEEMED,hawthorne
WHEELSTHE   CART  ,tolstoy
WHO   ARE   DRAWN ,plato
THEN  WELL  SERVED,shakespeare
THE   FOOL  YOU   ,shakespeare
OTHER SENSESTHEY  ,aquinas
THEM  HARM  FOR   ,aquinas
KUTZOVLEFT  FOR   ,tolstoy
HAS   SPENT HIS   ,plato
HAND  KISSEDONE   ,tolstoy
AND   WORE  LIGHT ,confucius
POOR  WOMAN SAID  ,hawthorne
ALL   SINS  FOR   ,aquinas
NOT   KNOW  PIERRE,tolstoy
UPON  WHAT  THE   ,plato
DIET  PLATO HAS   ,plato
SIN   FOR   SOME  ,aquinas
IMPEDETHE   SORROW,aquinas
BEHINDTHEM  CAME  ,tolstoy
WHEN  THE   DOOR  ,tolstoy
MINE  WHO   MUST  ,hawthorne
EVEN  SELECTSOME  ,plato
WILL  TAKE  WITH  ,plato
AVOID THEM  CHAP  ,confucius
DURINGTHIS  IDLE  ,tolstoy
HER   GLANCEMET   ,tolstoy
TSE   WITH  TSEIH ,confucius
WITH  CORNS WILL  ,shakespeare
OWN   CAUSE GOOD  ,shakespeare
TSZ   HWA   THEN  ,confucius
MANS  FIRE  WATER ,hawthorne
LIFE  AND   HAS   ,plato
PEACE SIRRAHYOU   ,shakespeare
MOVINGALONG THE   ,tolstoy
HERE  WHY   DONT  ,hawthorne
BUT   TURN  DOWN  ,shakespeare
MADE  DOUAY HAST  ,aquinas
SAME  ORDER AFTER ,tolstoy
AND   THEN  HIDE  ,hawthorne
PUBLICHONORSTHAT  ,hawthorne
SIXTH YEAR  LET   ,plato
EVANG THE   LORD  ,aquinas
WISE  MAN   WHO   ,aquinas
YOU   NOT   MAD   ,shakespeare
EASE  THE   HAPPY ,hawthorne
THE   TOWN  HIS   ,hawthorne
DOOR  WAS   NOT   ,confucius
TAKINGITS   OWN   ,hawthorne
WANTEDBUT   THE   ,tolstoy
ONE   WORD  ILL   ,shakespeare
MADE  THE   EYES  ,tolstoy
THE   SOUL  QUITE ,plato
EVIL  AND   UNJUST,plato
ART   AND   SOME  ,plato
OLDEN TIME  WAS   ,plato
THIS  EARTH PIERRE,tolstoy
COULD TAKE  SUCH  ,tolstoy
SUPPERAND   SEE   ,plato
WOMB  REPLY OBJ   ,aquinas
YOUNG MEN   HAVE  ,plato
MAN   AND   THOSE ,confucius
WERE  THE   GRACD ,shakespeare
OLD   ONE   HIS   ,hawthorne
THAT  END   WHEN  ,aquinas
THAT  CRY   AND   ,tolstoy
NATUREBUT   CHRIST,aquinas
TABLESTHAT  HAD   ,hawthorne
NATURENOW   THIS  ,aquinas
WILFULYOUTH THAT  ,shakespeare
HERE  THE   MUSIC ,confucius
HAVE  GOT   SUCH  ,confucius
EITHERTHE   ACTUAL,aquinas
CHANG HIS   VIEWS ,confucius
THEIR IDOLS THEY  ,aquinas
THAN  FIRE  AND   ,confucius
MAN   SAID  HESTER,hawthorne
HIGH  WHOSE MASSES,confucius
ALL   THERE NEED  ,hawthorne
WHOLE DEVICEWHEN  ,shakespeare
SIR   THOMASMORE  ,plato
THE   FORMERCASES ,plato
HAD   NONE  HIS   ,shakespeare
MASTERSAID  THOUGH,confucius
FEAR  FIRST THERE ,aquinas
SEND  TWO   MEN   ,tolstoy
ARE   DOING JUST  ,plato
THE   JUST  HIS   ,plato
WANT  AND   DESIRE,plato
MEMORYTHE   WARDER,shakespeare
YOUR  GOOD  LIE   ,tolstoy
HEAVENNOT   THAT  ,aquinas
NOT   LATCH THEM  ,shakespeare
THAT  ANY   YOUNG ,plato
BLACK AND   WERE  ,confucius
PAIN  HENCE THE   ,aquinas
THEIR SOULS THAT  ,aquinas
OFF   FOR   KALGA ,tolstoy
THING ABOUT THE   ,confucius
DREW  HIM   OFF   ,tolstoy
AND   BESTOWYOUR  ,shakespeare
COMMONMAN   CANNOT,confucius
HAVE  SEEN  BETTER,shakespeare
THEY  ARE   WEARY ,shakespeare
EATS  HIS   VERY  ,tolstoy
NONE  HATE  HOW   ,confucius
ALL   SAID  TSZE  ,confucius
EYES  ARE   WEAK  ,hawthorne
BEFORECHRISTWHILE ,confucius
NEVER FOUGHTWITH  ,plato
SOUL  WITHINTHE   ,shakespeare
SUN   DIDST THOU  ,shakespeare
BUT   MICE  AND   ,shakespeare
BUT   ONE   HUMAN ,aquinas
GAIETYWITH  WHICH ,tolstoy
VICE  WHOSE STRONG,shakespeare
THE   GROUNDBELOW ,confucius
OTHER PLACESWHERE ,hawthorne
WHO   WOOES EVEN  ,shakespeare
PRAY  THEE  SPEAK ,shakespeare
BUT   GENTLYWHEN  ,confucius
WHICH WAY   THOU  ,shakespeare
THEM  MIDST THE   ,confucius
FROM  GOD   FROM  ,aquinas
THOUGHHIS   HONOUR,plato
COULD ENDURETHE   ,plato
NEW   BORN  BABES ,aquinas
SAYS  WHEN  THEN  ,aquinas
THE   AND   THAT  ,aquinas
MAKE  URGENTTHE   ,confucius
OBJ   MAN   HAS   ,aquinas
BEAUTYWHICH REALLY,plato
LET   THY   TONGUE,shakespeare
DOOR  SHOULDSWING ,hawthorne
WHILE THAT  THEYRE,tolstoy
FOR   YOUR  CREDIT,hawthorne
THAT  WHICH RATHER,shakespeare
TWO   WAYS  VIZ   ,aquinas
SPEAK ABOUT DIVINE,plato
BUT   JAN   CHIU  ,confucius
FROM  TAKINGTHE   ,aquinas
TOO   THE   PEOPLE,hawthorne
AND   SANG  THE   ,plato
WHOSE SPHERELAY   ,hawthorne
THAT  JACOB SERVD ,shakespeare
TOWN  NOT   NOW   ,hawthorne
CAUSE AND   NOT   ,aquinas
YOUNG MANS  SMILE ,hawthorne
ALL   AND   HOW   ,plato
HESTERNEVER CARED ,hawthorne
THEY  WALK  FOR   ,shakespeare
ADDED SOME  WORD  ,aquinas
BORN  FOR   OUR   ,aquinas
ABOARDBUT   SHE   ,shakespeare
CHURCHCANNOTERR   ,aquinas
WAS   DELVEDNEAR  ,hawthorne
THE   EFFECTALSO  ,aquinas
PART  BUT   ONLY  ,tolstoy
HIM   EXCEPTPLATN ,tolstoy
EXILE AND   TAKE  ,plato
HUMAN BODY  CANNOT,aquinas
AND   BID   HER   ,shakespeare
MANY  ARE   TOO   ,plato
SEEN  SUCH  MEN   ,confucius
YOU   KNAVESAND   ,shakespeare
THEIRSTHAT  SHE   ,plato
YOUR  LADY  KNOW  ,shakespeare
THE   PROPERSEASON,confucius
THAN  GOD   LEST  ,aquinas
COME  BLEND YOUR  ,confucius
HIS   SORROWWAS   ,confucius
THE   NEW   WORLD ,hawthorne
MIGHT AVOID DEATH ,plato
NOT   AWEARYMOTHER,hawthorne
THEM  BEHINDTHEM  ,tolstoy
TREE  DURINGTHIS  ,tolstoy
DINNERLEVIN WAS   ,tolstoy
SHE   HID   THE   ,hawthorne
VESSELWITH  THE   ,aquinas
CITY  GOOD  LAWS  ,plato
THEIR NURSE THEY  ,plato
THIS  PAPER ASK   ,shakespeare
SORT  ALL   YOU   ,shakespeare
HIS   TITLE HANG  ,shakespeare
LOVE  MUST  CLIMB ,shakespeare
COMMONDININGROOM  ,tolstoy
COLD  WIND  SAYS  ,shakespeare
SIR   TOBY  WHY   ,shakespeare
PORTALHESTERPRYNNE,hawthorne
FREE  GRAY  OLD   ,tolstoy
FIENDSHAVE  BEEN  ,shakespeare
NOW   SINS  DIFFER,aquinas
CAN   ONLY  ORDER ,plato
THAT  HOUSE COULD ,hawthorne
GOT   OFF   HIS   ,tolstoy
PEACE THEY  CAN   ,confucius
THE   LIVINGFLESH ,aquinas
FOR   THE   PUPPET,plato
FOR   THESE POOR  ,hawthorne
OUR   COURT WHERE ,shakespeare
TRUE  MADAM AND   ,shakespeare
MIND  SHE   NEVER ,hawthorne
THE   KITE  WHICH ,aquinas
HIM   THE   MOST  ,tolstoy
EVEN  OER   THE   ,shakespeare
WHEN  SHE   AGAIN ,tolstoy
TRUE  BODY  NOT   ,aquinas
FAR   LESS  AND   ,plato
THE   BEAST APOC  ,aquinas
LIFE  HIS   REASON,shakespeare
AND   SEEINGPIERRE,tolstoy
NAMD  AND   GONE  ,shakespeare
HAVE  GOT   QUITE ,hawthorne
THE   ENEMYSARMIES,tolstoy
CAME  HITHERWHICH ,shakespeare
MATTERHOW   MUCH  ,aquinas
HIS   FAMILYHAS   ,plato
THY   FATES OPEN  ,shakespeare
HIS   WIFE  AHA   ,tolstoy
HAVE  BEEN  COULD ,hawthorne
MASTERHAD   HAD   ,confucius
PLAYEDTHE   VERY  ,hawthorne
THE   THIRD OBJECT,aquinas
AFFIRMTHAT  CHRIST,aquinas
SHED  AND   BEGAN ,tolstoy
ONLY  ASK   FOR   ,aquinas
IDEA  ONE   CORD  ,confucius
HER   ARMS  OUT   ,tolstoy
INDEEDWOOD  HAY   ,aquinas
YOU   MAY   START ,hawthorne
FEEL  ARE   CALLED,aquinas
FACE  BUT   THOUGH,hawthorne
HIS   GOOD  STORY ,tolstoy
STAR  THE   SKY   ,confucius
FINGERDUKE  LING  ,confucius
AND   LOW   WHILE ,confucius
ENEMY MUST  HAVE  ,hawthorne
TAKE  THE   BATTLE,tolstoy
SHALL SEE   BETTER,plato
HARD  AND   FULL  ,shakespeare
RANKS WERE  FILLED,hawthorne
FORK  INVADETHE   ,shakespeare
FLEE  THEIR JAILER,hawthorne
BEATENDRUM  COME  ,shakespeare
RATHERHOLD  FAST  ,shakespeare
HUMOR SORTEDOUT   ,tolstoy
EAR   CHANGEPLACES,shakespeare
HAVE  LAID  THEIR ,hawthorne
ONE   ONLY  FOUGHT,plato
WORDS OUGHT NOT   ,aquinas
AMONG FRESH FEMALE,shakespeare
NIGHT ITSELFFOR   ,aquinas
BUT   AND   YOU   ,shakespeare
FROM  SUCH  BUT   ,confucius
THREE OCLOCKSAID  ,hawthorne
LIKE  THE   ODOR  ,aquinas
TRUE  AND   LIVED ,plato
HAVE  THE   LEG   ,tolstoy
DONE  THE   NEXT  ,hawthorne
TRUE  BUT   HAVE  ,plato
KEPT  ALOOF WHILE ,hawthorne
